EquipmentSerialNumberID,ModelCode,ModelYear,AskingPrice,PredictedValue,AbsPredictionError,AskingPriceDiffToPredicted,LocationCity,LocationState,ObservationDate,ManufacturerDeliveryPrice
423,8235R,2011,125000.00000,142158.00,17158.00000,-17158.00000,KAHOKA,MO,2021-09-01,139336.05
424,8235R,2013,125648.00000,113228.00,12420.00000,12420.00000,BLACKFOOT,ID,2021-09-01,219263.84
1712,8235R,2013,166900.00000,201308.00,34408.00000,-34408.00000,FLOYDADA,TX,2021-09-01,176476.30
425,8235R,2013,120000.00000,110466.00,9534.00000,9534.00000,SEABOARD,NC,2021-09-01,172815.72
2315,8235R,2011,135000.00000,153052.00,18052.00000,-18052.00000,MANSON,IA,2021-07-01,147544.60
2168,8235R,2012,99900.00000,98609.00,1291.00000,1291.00000,BRIDGEPORT,NE,2021-09-01,200991.56
2323,8235R,2013,126000.00000,130322.00,4322.00000,-4322.00000,CHEYENNE,WY,2021-09-01,165401.39
2326,8245R,2010,139000.00000,143560.00,4560.00000,-4560.00000,DECORAH,IA,2021-08-01,162656.34
427,8245R,2018,177000.00000,168470.00,8530.00000,8530.00000,TUNICA,MS,2021-09-01,215119.52
2223,8245R,2017,199500.00000,209602.00,10102.00000,-10102.00000,BLUFFTON,IN,2021-09-01,213756.62
428,8245R,2018,219900.00000,238580.00,18680.00000,-18680.00000,EFFINGHAM,IL,2021-08-01,207109.21
428,8245R,2018,219900.00000,246090.00,26190.00000,-26190.00000,HAVANA,IL,2021-09-01,207109.21
429,8245R,2018,152500.00000,193120.00,40620.00000,-40620.00000,LANCASTER,PA,2021-07-01,191582.93
429,8245R,2018,152500.00000,189070.00,36570.00000,-36570.00000,LANCASTER,PA,2021-09-01,191582.93
3747,8245R,2018,221500.00000,208984.00,12516.00000,12516.00000,WARSAW,IN,2021-07-01,240424.80
430,8245R,2019,238806.00000,244366.00,5560.00000,-5560.00000,IDAHO FALLS,ID,2021-09-01,255996.51
1715,8245R,2019,225230.00000,239925.00,14695.00000,-14695.00000,REDFIELD,SD,2021-09-01,222663.21
1716,8245R,2019,219580.00000,233837.00,14257.00000,-14257.00000,ABERDEEN,SD,2021-09-01,222663.21
431,8245R,2019,188500.00000,209544.00,21044.00000,-21044.00000,SODUS,MI,2021-08-01,217097.65
431,8245R,2019,194500.00000,218138.00,23638.00000,-23638.00000,HOLLAND,MI,2021-09-01,217097.65
2334,8245R,2019,207900.00000,236866.00,28966.00000,-28966.00000,SODUS,MI,2021-09-01,214098.50
1718,8245R,2020,185000.00000,205176.00,20176.00000,-20176.00000,JOHNSON,KS,2021-08-01,215405.19
1718,8245R,2020,195000.00000,225610.00,30610.00000,-30610.00000,JOHNSON,KS,2021-09-01,215405.19
1719,8245R,2020,195000.00000,225610.00,30610.00000,-30610.00000,SYRACUSE,KS,2021-09-01,215405.19
432,8245R,2020,255900.00000,252018.00,3882.00000,3882.00000,BLUFFTON,IN,2021-09-01,254639.77
433,8245R,2020,262693.00000,261036.00,1657.00000,1657.00000,BLACKFOOT,ID,2021-07-01,265727.77
433,8245R,2020,262693.00000,264230.00,1537.00000,-1537.00000,BLACKFOOT,ID,2021-09-01,265727.77
434,8245R,2020,250274.00000,253540.00,3266.00000,-3266.00000,BLACKFOOT,ID,2021-09-01,265727.77
434,8245R,2020,257735.00000,257156.00,579.00000,579.00000,BLACKFOOT,ID,2021-07-01,265727.77
434,8245R,2020,257735.00000,250228.00,7507.00000,7507.00000,BLACKFOOT,ID,2021-08-01,265727.77
435,8245R,2020,251000.00000,255048.00,4048.00000,-4048.00000,BLACKFOOT,ID,2021-09-01,265727.77
435,8245R,2020,257702.00000,257784.00,82.00000,-82.00000,BLACKFOOT,ID,2021-07-01,265727.77
435,8245R,2020,257702.00000,251316.00,6386.00000,6386.00000,BLACKFOOT,ID,2021-08-01,265727.77
2335,8245R,2020,254976.00000,253364.00,1612.00000,1612.00000,BLACKFOOT,ID,2021-08-01,265727.77
2335,8245R,2020,254976.00000,254660.00,316.00000,316.00000,BLACKFOOT,ID,2021-07-01,265727.77
1720,8245R,2014,198800.00000,173012.00,25788.00000,25788.00000,FREMONT,NE,2021-07-01,231274.12
1720,8245R,2014,198800.00000,173004.00,25796.00000,25796.00000,FREMONT,NE,2021-07-01,231274.12
1720,8245R,2014,198800.00000,174704.00,24096.00000,24096.00000,FREMONT,NE,2021-08-01,231274.12
1720,8245R,2014,198800.00000,169167.00,29633.00000,29633.00000,FREMONT,NE,2021-09-01,231274.12
2338,8245R,2014,210000.00000,220942.00,10942.00000,-10942.00000,COMANCHE,TX,2021-09-01,201053.93
2340,8245R,2016,162500.00000,165100.00,2600.00000,-2600.00000,GREAT BEND,KS,2021-07-01,212669.38
438,8245R,2018,213900.00000,236186.00,22286.00000,-22286.00000,ANNA,OH,2021-09-01,212828.77
1723,8245R,2018,169900.00000,184476.00,14576.00000,-14576.00000,FLOYDADA,TX,2021-09-01,218335.04
2343,8245R,2018,239900.00000,224746.00,15154.00000,15154.00000,BRIMFIELD,IL,2021-09-01,253336.93
439,8245R,2018,179000.00000,202382.00,23382.00000,-23382.00000,NAMPA,ID,2021-09-01,211782.34
439,8245R,2018,185000.00000,200836.00,15836.00000,-15836.00000,NAMPA,ID,2021-08-01,211782.34
1758,8245R,2018,214900.00000,229466.00,14566.00000,-14566.00000,ELIZABETHTOWN,KY,2021-09-01,227529.61
441,8245R,2018,212500.00000,222268.00,9768.00000,-9768.00000,DOON,IA,2021-08-01,233541.00
441,8245R,2018,224500.00000,223749.00,751.00000,751.00000,DOON,IA,2021-09-01,233541.00
442,8245R,2019,261370.00000,234112.00,27258.00000,27258.00000,MISSOULA,MT,2021-07-01,261119.32
442,8245R,2019,261370.00000,240856.00,20514.00000,20514.00000,WASHBURN,ND,2021-07-01,261119.32
442,8245R,2019,265160.00000,237559.00,27601.00000,27601.00000,WASHBURN,ND,2021-09-01,261119.32
1726,8245R,2019,238367.00000,237004.00,1363.00000,1363.00000,IDAHO FALLS,ID,2021-08-01,255072.51
1726,8245R,2019,238367.00000,244480.00,6113.00000,-6113.00000,IDAHO FALLS,ID,2021-09-01,255072.51
444,8245R,2019,261526.00000,245196.00,16330.00000,16330.00000,IDAHO FALLS,ID,2021-08-01,261385.74
444,8245R,2019,261526.00000,255616.00,5910.00000,5910.00000,IDAHO FALLS,ID,2021-09-01,261385.74
1727,8245R,2019,239272.00000,244720.00,5448.00000,-5448.00000,IDAHO FALLS,ID,2021-09-01,255996.51
1727,8245R,2019,239272.00000,237060.00,2212.00000,2212.00000,IDAHO FALLS,ID,2021-08-01,255996.51
1728,8245R,2019,238161.00000,242990.00,4829.00000,-4829.00000,IDAHO FALLS,ID,2021-09-01,257042.94
447,8245R,2020,250610.00000,253200.00,2590.00000,-2590.00000,MOORHEAD,MN,2021-07-01,246612.52
447,8245R,2020,256910.00000,261040.00,4130.00000,-4130.00000,MOORHEAD,MN,2021-08-01,246612.52
446,8245R,2020,255380.00000,258156.00,2776.00000,-2776.00000,MOORHEAD,MN,2021-07-01,246612.52
446,8245R,2020,261900.00000,256167.00,5733.00000,5733.00000,HAWLEY,MN,2021-09-01,246612.52
446,8245R,2020,261900.00000,266380.00,4480.00000,-4480.00000,MOORHEAD,MN,2021-08-01,246612.52
1762,8245R,2020,273240.00000,255220.00,18020.00000,18020.00000,PASCO,WA,2021-07-01,275571.45
1762,8245R,2020,278070.00000,253388.00,24682.00000,24682.00000,PASCO,WA,2021-08-01,275571.45
1762,8245R,2020,278070.00000,262228.00,15842.00000,15842.00000,PASCO,WA,2021-09-01,275571.45
448,8245R,2020,252500.00000,245328.00,7172.00000,7172.00000,PRINCETON,MN,2021-07-01,261929.36
448,8245R,2020,252500.00000,246724.00,5776.00000,5776.00000,WADENA,MN,2021-08-01,261929.36
448,8245R,2020,252500.00000,236627.00,15873.00000,15873.00000,WADENA,MN,2021-09-01,261929.36
426,8245R,2020,269500.00000,247272.00,22228.00000,22228.00000,SEYMOUR,IN,2021-08-01,268340.38
2349,8245R,2019,205000.00000,213172.00,8172.00000,-8172.00000,LELAND,MS,2021-07-01,225024.03
1730,8245R,2019,178000.00000,199188.00,21188.00000,-21188.00000,JOHNSON,KS,2021-08-01,211190.21
1730,8245R,2019,188000.00000,218488.00,30488.00000,-30488.00000,ULYSSES,KS,2021-09-01,211190.21
2351,8245R,2019,210090.00000,222375.00,12285.00000,-12285.00000,ABERDEEN,SD,2021-09-01,222663.21
1732,8245R,2019,181500.00000,186246.00,4746.00000,-4746.00000,CASA GRANDE,AZ,2021-09-01,221860.10
1733,8245R,2019,184500.00000,189734.00,5234.00000,-5234.00000,CASA GRANDE,AZ,2021-09-01,221860.10
449,8245R,2020,244900.00000,281370.00,36470.00000,-36470.00000,PLAINVIEW,TX,2021-09-01,221170.18
450,8245R,2019,225500.00000,230442.00,4942.00000,-4942.00000,BLUFFTON,IN,2021-09-01,233451.50
2353,8245R,2020,274900.00000,263370.00,11530.00000,11530.00000,FULTON,IL,2021-09-01,265024.76
451,8245R,2020,185000.00000,206972.00,21972.00000,-21972.00000,JOHNSON,KS,2021-08-01,215651.59
452,8245R,2020,251989.00000,255534.00,3545.00000,-3545.00000,BLACKFOOT,ID,2021-09-01,265727.77
452,8245R,2020,254976.00000,254024.00,952.00000,952.00000,BLACKFOOT,ID,2021-07-01,265727.77
452,8245R,2020,254976.00000,250092.00,4884.00000,4884.00000,BLACKFOOT,ID,2021-08-01,265727.77
453,8245R,2020,254976.00000,253612.00,1364.00000,1364.00000,BLACKFOOT,ID,2021-08-01,265727.77
453,8245R,2020,254976.00000,254660.00,316.00000,316.00000,BLACKFOOT,ID,2021-07-01,265727.77
453,8245R,2020,254976.00000,257314.00,2338.00000,-2338.00000,BLACKFOOT,ID,2021-09-01,265727.77
2357,8245R,2010,78500.00000,75772.00,2728.00000,2728.00000,OCILLA,GA,2021-08-01,147483.49
2360,8245R,2014,139500.00000,140530.00,1030.00000,-1030.00000,SCOTT CITY,MO,2021-07-01,195825.63
455,8245R,2014,99900.00000,108490.00,8590.00000,-8590.00000,ALEXANDER,NY,2021-09-01,175804.09
456,8245R,2014,149999.00000,159296.00,9297.00000,-9297.00000,MCMINNVILLE,OR,2021-09-01,205793.28
457,8245R,2016,225900.00000,234984.00,9084.00000,-9084.00000,EFFINGHAM,IL,2021-08-01,210053.69
457,8245R,2016,225900.00000,242994.00,17094.00000,-17094.00000,EFFINGHAM,IL,2021-09-01,210053.69
457,8245R,2016,229900.00000,235148.00,5248.00000,-5248.00000,EFFINGHAM,IL,2021-07-01,210053.69
3752,8245R,2017,194900.00000,196892.00,1992.00000,-1992.00000,LOGANSPORT,IN,2021-08-01,216123.60
459,8245R,2018,151300.00000,168900.00,17600.00000,-17600.00000,CHEYENNE,WY,2021-08-01,191582.93
459,8245R,2018,151300.00000,172108.00,20808.00000,-20808.00000,LONGMONT,CO,2021-07-01,191582.93
461,8245R,2019,247966.00000,246942.00,1024.00000,1024.00000,IDAHO FALLS,ID,2021-09-01,261385.74
462,8245R,2019,166200.00000,182082.00,15882.00000,-15882.00000,GREELEY,CO,2021-09-01,202745.62
1735,8245R,2019,175000.00000,179238.00,4238.00000,-4238.00000,CASA GRANDE,AZ,2021-09-01,221860.10
463,8245R,2019,188500.00000,208260.00,19760.00000,-19760.00000,LAGRANGE,IN,2021-08-01,217097.65
463,8245R,2019,193500.00000,215250.00,21750.00000,-21750.00000,HOLLAND,MI,2021-09-01,217097.65
1707,8245R,2019,182500.00000,205842.00,23342.00000,-23342.00000,SODUS,MI,2021-09-01,214098.50
464,8245R,2020,185000.00000,206492.00,21492.00000,-21492.00000,JOHNSON,KS,2021-08-01,215651.59
464,8245R,2020,195000.00000,227566.00,32566.00000,-32566.00000,HUGOTON,KS,2021-09-01,215651.59
1725,8245R,2014,152900.00000,151812.00,1088.00000,1088.00000,ALTUS,OK,2021-07-01,203241.50
1725,8245R,2014,152900.00000,151812.00,1088.00000,1088.00000,AMARILLO,TX,2021-07-01,203241.50
1725,8245R,2014,152900.00000,146406.00,6494.00000,6494.00000,CLOVIS,NM,2021-09-01,203241.50
1725,8245R,2014,152900.00000,157360.00,4460.00000,-4460.00000,OLTON,TX,2021-08-01,203241.50
1736,8245R,2016,194900.00000,174861.00,20039.00000,20039.00000,NORFOLK,NE,2021-09-01,242057.97
465,8245R,2018,185000.00000,191828.00,6828.00000,-6828.00000,HOMEDALE,ID,2021-08-01,211782.34
465,8245R,2018,185000.00000,201504.00,16504.00000,-16504.00000,HOMEDALE,ID,2021-09-01,211782.34
2376,8245R,2018,210000.00000,227708.00,17708.00000,-17708.00000,CLINTON,KY,2021-07-01,227484.95
466,8245R,2018,159700.00000,181834.00,22134.00000,-22134.00000,GREELEY,CO,2021-09-01,191582.93
467,8245R,2018,209500.00000,240492.00,30992.00000,-30992.00000,MONTICELLO,IN,2021-08-01,202668.62
468,8245R,2018,185900.00000,217272.00,31372.00000,-31372.00000,WARSAW,IN,2021-08-01,202552.35
468,8245R,2018,189500.00000,225058.00,35558.00000,-35558.00000,WARSAW,IN,2021-09-01,202552.35
469,8245R,2019,238677.00000,243592.00,4915.00000,-4915.00000,IDAHO FALLS,ID,2021-09-01,255996.51
470,8245R,2019,249649.00000,246856.00,2793.00000,2793.00000,IDAHO FALLS,ID,2021-09-01,263310.74
471,8245R,2019,247214.00000,246434.00,780.00000,780.00000,IDAHO FALLS,ID,2021-09-01,261385.74
472,8245R,2019,250837.00000,248298.00,2539.00000,2539.00000,IDAHO FALLS,ID,2021-09-01,263310.74
2382,8245R,2019,212000.00000,209889.00,2111.00000,2111.00000,WINNER,SD,2021-09-01,241578.26
2383,8245R,2019,206500.00000,234058.00,27558.00000,-27558.00000,SODUS,MI,2021-09-01,214098.50
1738,8245R,2020,195000.00000,227238.00,32238.00000,-32238.00000,JOHNSON,KS,2021-09-01,212114.21
3757,8245R,2020,222500.00000,242844.00,20344.00000,-20344.00000,RIPLEY,TN,2021-07-01,239175.86
3757,8245R,2020,222500.00000,237886.00,15386.00000,-15386.00000,RIPLEY,TN,2021-09-01,239175.86
473,8245R,2010,165000.00000,182208.00,17208.00000,-17208.00000,MUNCIE,IN,2021-08-01,155098.02
1740,8245R,2014,139500.00000,140314.00,814.00000,-814.00000,SCOTT CITY,MO,2021-07-01,195825.63
1740,8245R,2014,139500.00000,152674.00,13174.00000,-13174.00000,SCOTT CITY,MO,2021-09-01,195825.63
1741,8245R,2018,138000.00000,162008.00,24008.00000,-24008.00000,BURLEY,ID,2021-09-01,201179.44
3761,8245R,2020,269900.00000,248240.00,21660.00000,21660.00000,MENOMONIE,WI,2021-07-01,265862.52
475,8245R,2019,210060.00000,231304.00,21244.00000,-21244.00000,ABERDEEN,SD,2021-07-01,222663.21
475,8245R,2019,216450.00000,238344.00,21894.00000,-21894.00000,ABERDEEN,SD,2021-08-01,222663.21
475,8245R,2019,216450.00000,229763.00,13313.00000,-13313.00000,ABERDEEN,SD,2021-09-01,222663.21
481,8245R,2019,204580.00000,224512.00,19932.00000,-19932.00000,ABERDEEN,SD,2021-08-01,222663.21
481,8245R,2019,204580.00000,216883.00,12303.00000,-12303.00000,WEBSTER,SD,2021-09-01,222663.21
1737,8245R,2019,221420.00000,235521.00,14101.00000,-14101.00000,ABERDEEN,SD,2021-09-01,222663.21
1742,8245R,2019,168000.00000,198422.00,30422.00000,-30422.00000,AMERICAN FALLS,ID,2021-09-01,221860.10
1743,8245R,2019,186500.00000,210530.00,24030.00000,-24030.00000,HOLLAND,MI,2021-09-01,214098.50
477,8245R,2019,249500.00000,257692.00,8192.00000,-8192.00000,SIOUX CENTER,IA,2021-08-01,238269.57
478,8245R,2020,240000.00000,236342.00,3658.00000,3658.00000,OCILLA,GA,2021-08-01,240809.80
478,8245R,2020,240000.00000,225158.00,14842.00000,14842.00000,TIFTON,GA,2021-09-01,240809.80
2403,8245R,2020,240000.00000,238476.00,1524.00000,1524.00000,DOUGLAS,GA,2021-08-01,240809.80
3763,8245R,2020,215000.00000,241866.00,26866.00000,-26866.00000,ELYRIA,OH,2021-09-01,221201.75
1724,8245R,2014,169900.00000,166682.00,3218.00000,3218.00000,CHIPPEWA FALLS,WI,2021-09-01,212258.97
2294,8245R,2017,201500.00000,174380.00,27120.00000,27120.00000,SEWARD,NE,2021-07-01,260524.11
1744,8245R,2017,229500.00000,236602.00,7102.00000,-7102.00000,HIAWATHA,KS,2021-09-01,233166.78
1745,8245R,2018,169000.00000,180620.00,11620.00000,-11620.00000,GLENNS FERRY,ID,2021-08-01,221312.55
1745,8245R,2018,169000.00000,183528.00,14528.00000,-14528.00000,GLENNS FERRY,ID,2021-09-01,221312.55
454,8245R,2019,224950.00000,228690.00,3740.00000,-3740.00000,WINFIELD,KS,2021-09-01,253069.67
2410,8245R,2018,157300.00000,177672.00,20372.00000,-20372.00000,GREELEY,CO,2021-07-01,191582.93
3764,8245R,2019,238440.00000,252547.00,14107.00000,-14107.00000,REDFIELD,SD,2021-09-01,222663.21
1746,8245R,2019,214945.00000,228035.00,13090.00000,-13090.00000,ABERDEEN,SD,2021-09-01,222663.21
480,8245R,2019,225150.00000,249100.00,23950.00000,-23950.00000,ABERDEEN,SD,2021-08-01,222663.21
1747,8245R,2019,229900.00000,236824.00,6924.00000,-6924.00000,PLAINVIEW,TX,2021-08-01,238312.69
1747,8245R,2019,229900.00000,247398.00,17498.00000,-17498.00000,DUMAS,TX,2021-09-01,238312.69
482,8245R,2020,243900.00000,236915.00,6985.00000,6985.00000,MORRIS,MN,2021-09-01,252679.35
482,8245R,2020,249400.00000,250844.00,1444.00000,-1444.00000,MORRIS,MN,2021-08-01,252679.35
483,8245R,2020,240000.00000,238892.00,1108.00000,1108.00000,DOUGLAS,GA,2021-08-01,240809.80
484,8245R,2020,237000.00000,245875.00,8875.00000,-8875.00000,OELWEIN,IA,2021-09-01,234569.72
485,8245R,2020,230000.00000,231834.00,1834.00000,-1834.00000,LELAND,MS,2021-09-01,227615.85
486,8245R,2020,254976.00000,251972.00,3004.00000,3004.00000,BLACKFOOT,ID,2021-08-01,265727.77
486,8245R,2020,254976.00000,254024.00,952.00000,952.00000,BLACKFOOT,ID,2021-07-01,265727.77
1748,8245R,2014,122500.00000,140865.00,18365.00000,-18365.00000,WILLMAR,MN,2021-09-01,173280.80
2415,8245R,2015,107750.00000,125240.00,17490.00000,-17490.00000,ALLENTOWN,PA,2021-07-01,185702.44
2416,8245R,2016,195000.00000,194292.00,708.00000,708.00000,HUNTINGTON,IN,2021-07-01,214920.86
489,8245R,2016,139900.00000,143404.00,3504.00000,-3504.00000,JANESVILLE,WI,2021-08-01,208323.50
490,8245R,2017,199500.00000,209602.00,10102.00000,-10102.00000,BLUFFTON,IN,2021-09-01,213756.62
488,8245R,2017,163500.00000,158092.00,5408.00000,5408.00000,ELMER,NJ,2021-09-01,212594.69
488,8245R,2017,165000.00000,171308.00,6308.00000,-6308.00000,ELMER,NJ,2021-07-01,212594.69
492,8245R,2018,229000.00000,250884.00,21884.00000,-21884.00000,NAMPA,ID,2021-08-01,221126.29
492,8245R,2018,229000.00000,260592.00,31592.00000,-31592.00000,NAMPA,ID,2021-09-01,221126.29
2421,8245R,2018,253000.00000,252038.00,962.00000,962.00000,COLBY,KS,2021-07-01,243815.88
494,8245R,2019,237914.00000,242812.00,4898.00000,-4898.00000,IDAHO FALLS,ID,2021-09-01,255996.51
495,8245R,2019,159800.00000,170612.00,10812.00000,-10812.00000,GREELEY,CO,2021-08-01,202745.62
496,8245R,2019,218920.00000,232755.00,13835.00000,-13835.00000,ABERDEEN,SD,2021-09-01,222663.21
1749,8245R,2019,219420.00000,233609.00,14189.00000,-14189.00000,ABERDEEN,SD,2021-09-01,222663.21
1750,8245R,2019,169800.00000,186338.00,16538.00000,-16538.00000,GREELEY,CO,2021-09-01,202745.62
476,8245R,2020,185000.00000,204004.00,19004.00000,-19004.00000,JOHNSON,KS,2021-07-01,212114.21
476,8245R,2020,185000.00000,205952.00,20952.00000,-20952.00000,JOHNSON,KS,2021-08-01,212114.21
476,8245R,2020,195000.00000,227028.00,32028.00000,-32028.00000,GARDEN CITY,KS,2021-09-01,212114.21
1751,8245R,2020,238256.00000,261781.00,23525.00000,-23525.00000,PIPESTONE,MN,2021-09-01,220023.65
498,8245R,2020,228900.00000,245736.00,16836.00000,-16836.00000,DWIGHT,IL,2021-07-01,227225.46
498,8245R,2020,228900.00000,247012.00,18112.00000,-18112.00000,DWIGHT,IL,2021-08-01,227225.46
498,8245R,2020,228900.00000,252858.00,23958.00000,-23958.00000,DWIGHT,IL,2021-09-01,227225.46
500,8245R,2017,249990.00000,226099.00,23891.00000,23891.00000,FERGUS FALLS,MN,2021-09-01,244178.55
500,8245R,2017,250120.00000,230640.00,19480.00000,19480.00000,FERGUS FALLS,MN,2021-07-01,244178.55
500,8245R,2017,260020.00000,242100.00,17920.00000,17920.00000,FERGUS FALLS,MN,2021-08-01,244178.55
501,8245R,2017,204171.00000,197892.00,6279.00000,6279.00000,BLACKFOOT,ID,2021-08-01,239516.20
501,8245R,2017,204171.00000,203304.00,867.00000,867.00000,BLACKFOOT,ID,2021-09-01,239516.20
502,8245R,2018,234980.00000,241508.00,6528.00000,-6528.00000,HAWLEY,MN,2021-07-01,233732.73
502,8245R,2018,241060.00000,249348.00,8288.00000,-8288.00000,HAWLEY,MN,2021-08-01,233732.73
502,8245R,2018,241060.00000,239795.00,1265.00000,1265.00000,HAWLEY,MN,2021-09-01,233732.73
503,8245R,2019,247137.00000,246238.00,899.00000,899.00000,IDAHO FALLS,ID,2021-09-01,261385.74
504,8245R,2019,239247.00000,244518.00,5271.00000,-5271.00000,IDAHO FALLS,ID,2021-09-01,255996.51
1722,8245R,2019,154500.00000,161715.00,7215.00000,-7215.00000,CRETE,NE,2021-09-01,226513.98
505,8245R,2019,232020.00000,254732.00,22712.00000,-22712.00000,ABERDEEN,SD,2021-08-01,222663.21
505,8245R,2019,232020.00000,245489.00,13469.00000,-13469.00000,WEBSTER,SD,2021-09-01,222663.21
506,8245R,2020,257599.00000,253820.00,3779.00000,3779.00000,BLACKFOOT,ID,2021-08-01,265727.77
506,8245R,2020,257599.00000,261620.00,4021.00000,-4021.00000,BLACKFOOT,ID,2021-09-01,265727.77
507,8245R,2014,121500.00000,115782.00,5718.00000,5718.00000,AMERICUS,GA,2021-08-01,190929.20
511,8245R,2014,207500.00000,216500.00,9000.00000,-9000.00000,PAULLINA,IA,2021-08-01,207114.60
2430,8245R,2014,139999.00000,150208.00,10209.00000,-10209.00000,EUGENE,OR,2021-07-01,205793.28
2430,8245R,2014,139999.00000,151076.00,11077.00000,-11077.00000,EUGENE,OR,2021-08-01,205793.28
2430,8245R,2014,139999.00000,152330.00,12331.00000,-12331.00000,EUGENE,OR,2021-09-01,205793.28
1754,8245R,2015,184900.00000,209784.00,24884.00000,-24884.00000,CARTHAGE,IL,2021-08-01,183082.13
